"","TimeStamp","TaniumServerVersion","Requester","ASN","Referer"
"1","16/Jul/2015:04:49:29","6.5.314.4236","1.136.96.18","Telstra Pty Ltd","demo5.tanium.com"
"2","31/Jul/2015:00:14:07","6.5.314.4268","1.136.97.40","Telstra Pty Ltd","taniumserver"
"3","10/Jul/2015:18:30:19","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"4","05/Aug/2015:19:10:24","6.5.314.4268","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","demo5.tanium.com"
"5","16/Jul/2015:04:13:33","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"6","14/Jul/2015:16:41:51","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"7","14/Jul/2015:18:13:38","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"8","12/Jul/2015:19:52:41","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"9","14/Jul/2015:21:29:05","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"10","14/Jul/2015:19:43:51","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"11","12/Jul/2015:20:02:15","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"12","29/Jul/2015:17:50:47","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"13","07/Jul/2015:13:38:44","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","demo5.tanium.com"
"14","14/Jul/2015:18:12:04","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"15","16/Jul/2015:04:11:49","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"16","13/Jul/2015:23:14:30","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"17","14/Jul/2015:18:11:52","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"18","09/Jul/2015:01:19:54","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","127.0.0.1"
"19","14/Jul/2015:18:11:39","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"20","14/Jul/2015:17:16:50","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"21","15/Jul/2015:13:43:01","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"22","03/Aug/2015:16:04:34","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"23","09/Jul/2015:00:53:10","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","127.0.0.1"
"24","07/Jul/2015:18:38:59","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","demo5.tanium.com"
"25","14/Jul/2015:19:42:28","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"26","16/Jul/2015:03:24:35","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"27","16/Jul/2015:04:19:24","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"28","14/Jul/2015:21:32:38","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"29","13/Jul/2015:16:59:24","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"30","30/Jun/2015:16:58:07","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","demo5.tanium.com"
"31","10/Jul/2015:18:30:10","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"32","28/Jul/2015:20:02:15","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"33","23/Jul/2015:19:56:00","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"34","14/Jul/2015:17:19:31","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"35","10/Jul/2015:15:28:40","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","127.0.0.1"
"36","16/Jul/2015:04:10:19","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"37","16/Jul/2015:03:48:07","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"38","12/Jul/2015:19:52:34","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"39","14/Jul/2015:21:32:52","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"40","10/Jul/2015:18:31:14","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"41","23/Jul/2015:19:24:09","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"42","16/Jul/2015:03:47:19","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"43","28/Jul/2015:20:27:31","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"44","14/Jul/2015:17:19:00","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"45","09/Jul/2015:18:28:36","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","demo5.tanium.com"
"46","13/Jul/2015:17:12:01","6.5.314.4236","100.1.89.169","MCI Communications Services, Inc. d/b/a Verizon Business","server"
"47","23/Jul/2015:16:02:59","6.5.314.4236","100.40.36.109","MCI Communications Services, Inc. d/b/a Verizon Business","uvo1vvxbnph2ptzheec.env.cloudshare.com"
"48","23/Jul/2015:15:51:42","6.5.314.4236","100.40.36.109","MCI Communications Services, Inc. d/b/a Verizon Business","uvo1vvxbnph2ptzheec.env.cloudshare.com"
"49","23/Jul/2015:15:49:45","6.5.314.4236","100.40.36.109","MCI Communications Services, Inc. d/b/a Verizon Business","10.10.10.111"
"50","23/Jul/2015:16:06:31","6.5.314.4236","100.40.36.109","MCI Communications Services, Inc. d/b/a Verizon Business","uvo1vvxbnph2ptzheec.env.cloudshare.com"
"51","10/Aug/2015:13:25:04","6.6.314.4814","100.40.36.109","MCI Communications Services, Inc. d/b/a Verizon Business","ms1-65.home.local"
"52","30/Jul/2015:16:14:46","6.5.314.4268","100.40.36.109","MCI Communications Services, Inc. d/b/a Verizon Business","ms1-65.home.local"
"53","04/Aug/2015:19:25:53","6.5.314.4268","100.40.36.109","MCI Communications Services, Inc. d/b/a Verizon Business","10.10.10.111"
"54","10/Aug/2015:13:27:04","6.6.314.4814","100.40.36.109","MCI Communications Services, Inc. d/b/a Verizon Business","ms1-65.home.local"
"55","20/Jul/2015:16:10:42","6.5.314.4236","100.40.36.109","MCI Communications Services, Inc. d/b/a Verizon Business","ms1-65.home.local"
"56","30/Jul/2015:16:16:48","6.5.314.4268","100.40.36.109","MCI Communications Services, Inc. d/b/a Verizon Business","ms1-65.home.local"
"57","20/Jul/2015:16:13:43","6.5.314.4236","100.40.36.109","MCI Communications Services, Inc. d/b/a Verizon Business","ms1-65.home.local"
"58","30/Jun/2015:04:09:40","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"59","30/Jun/2015:04:09:35","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"60","30/Jun/2015:04:10:13","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"61","20/Jul/2015:16:03:53","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","tst-patch"
"62","30/Jun/2015:00:17:02","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"63","23/Jul/2015:15:47:58","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","uvo1vvxbnph2ptzheec.env.cloudshare.com"
"64","22/Jul/2015:17:12:49","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","tst-patch"
"65","30/Jun/2015:01:02:46","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"66","29/Jul/2015:22:19:41","6.5.314.4268","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","tst-patch"
"67","30/Jun/2015:04:06:40","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"68","30/Jun/2015:01:00:42","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"69","30/Jun/2015:04:08:19","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"70","10/Aug/2015:16:19:15","6.5.314.4268","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","demo5.tanium.com"
"71","29/Jul/2015:17:32:01","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","tst-patch"
"72","11/Aug/2015:01:15:43","6.5.314.4268","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","tst-patch"
"73","29/Jul/2015:17:57:32","6.5.314.4268","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"74","12/Aug/2015:20:02:27","6.5.314.4268","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","tst-patch"
"75","30/Jul/2015:13:51:13","6.5.314.4268","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","tst-patch"
"76","30/Jun/2015:04:10:31","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"77","29/Jun/2015:22:26:30","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"78","20/Jul/2015:15:40:52","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","tst-patch"
"79","03/Aug/2015:23:49:51","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","uvo1lqybzs48indkl4b.env.cloudshare.com"
"80","30/Jun/2015:03:59:18","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
"81","20/Jul/2015:16:02:29","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","tst-patch"
"82","30/Jun/2015:01:02:15","6.5.314.4236","100.40.86.147","MCI Communications Services, Inc. d/b/a Verizon Business","localhost"
