"","TimeStamp","Solution","Requester","ASN"
"1",5971,216,1,179
"2",5974,212,1,179
"3",5974,215,1,179
"4",5972,217,1,179
"5",5975,214,1,179
"6",5976,212,1,179
"7",5973,213,1,179
"8",5971,219,1,179
"9",5971,220,1,179
"10",5973,214,1,179
"11",18534,356,2,112
"12",1174,292,2,112
"13",1171,278,2,112
"14",18574,311,2,112
"15",18573,328,2,112
"16",18488,347,2,112
"17",18264,306,2,112
"18",18549,359,2,112
"19",18548,337,2,112
"20",18263,361,2,112
"21",18573,314,2,112
"22",56939,343,2,112
"23",18550,352,2,112
"24",18549,354,2,112
"25",1213,283,2,112
"26",18303,320,2,112
"27",43359,314,2,112
"28",43296,331,2,112
"29",18259,313,2,112
"30",18488,345,2,112
"31",25969,315,2,112
"32",18573,325,2,112
"33",18574,312,2,112
"34",43357,328,2,112
"35",18256,308,2,112
"36",43293,345,2,112
"37",43274,1785,2,112
"38",48708,1543,2,112
"39",18258,312,2,112
"40",1170,279,2,112
"41",18588,316,2,112
"42",18261,301,2,112
"43",18572,322,2,112
"44",56939,305,2,112
"45",43284,1774,2,112
"46",18488,346,2,112
"47",33817,1087,2,112
"48",1167,285,2,112
"49",43280,1780,2,112
"50",43295,344,2,112
"51",18260,366,2,112
"52",43278,1789,2,112
"53",43287,356,2,112
"54",1204,296,2,112
"55",18585,331,2,112
"56",25968,329,2,112
"57",18572,324,2,112
"58",21054,352,2,112
"59",18253,328,2,112
"60",43290,348,2,112
"61",43358,325,2,112
"62",33818,1085,2,112
"63",38896,1781,2,112
"64",18549,342,2,112
"65",42229,585,2,112
"66",43275,1786,2,112
"67",18303,318,2,112
"68",18546,303,2,112
"69",1166,286,2,112
"70",43330,364,2,112
"71",18569,315,2,112
"72",18487,349,2,112
"73",43291,347,2,112
"74",18572,327,2,112
"75",43282,1779,2,112
"76",42226,572,2,112
"77",18257,311,2,112
"78",25984,308,2,112
"79",43289,351,2,112
"80",42229,584,2,112
"81",43355,324,2,112
"82",1168,280,2,112
"83",43294,1795,2,112
"84",1209,256,2,112
"85",18570,318,2,112
"86",18262,303,2,112
"87",38894,1776,2,112
"88",21052,364,2,112
"89",18489,330,2,112
"90",18303,319,2,112
"91",56940,354,2,112
"92",18537,346,2,112
"93",18303,321,2,112
"94",18485,357,2,112
"95",18569,326,2,112
"96",18549,358,2,112
"97",18570,320,2,112
"98",48699,1534,2,112
"99",18251,324,2,112
"100",42230,583,2,112
"101",18548,305,2,112
"102",43356,327,2,112
"103",38063,351,2,112
"104",42228,579,2,112
"105",42226,575,2,112
"106",43288,352,2,112
"107",18568,329,2,112
"108",25965,344,2,112
