"","ServerVersion","Bundle","RequestingIP","asn","RefererURL.x","RefererURL.y"
"1","6.5.314.4236",NA,"1.136.96.18","AS1221 Telstra Pty Ltd","demo5.tanium.com",NA
"2","6.5.314.4236","TaniumDetect","10.145.30.66","IP Address not found","wctze005eapd1.uscltgv.amrs.bankofamerica.com","wctze005eapd1.uscltgv.amrs.bankofamerica.com"
"3","6.5.314.4236","InitialContent","10.145.30.66","IP Address not found","wctze005eapd1.uscltgv.amrs.bankofamerica.com","wctze005eapd1.uscltgv.amrs.bankofamerica.com"
"4","6.5.314.4236","ClientMaintenance","10.145.30.66","IP Address not found","wctze005eapd1.uscltgv.amrs.bankofamerica.com","wctze005eapd1.uscltgv.amrs.bankofamerica.com"
"5","6.5.314.4236","ClientUpgrade","10.145.30.66","IP Address not found","tux-console","wctze005eapd1.uscltgv.amrs.bankofamerica.com"
"6","6.5.314.4236","TaniumDetect","10.145.30.66","IP Address not found","tux-console","wctze005eapd1.uscltgv.amrs.bankofamerica.com"
"7","6.5.314.4236","InitialContent","10.145.30.66","IP Address not found","tux-console","wctze005eapd1.uscltgv.amrs.bankofamerica.com"
"8","6.5.314.4236","ClientMaintenance","10.145.30.66","IP Address not found","tux-console","wctze005eapd1.uscltgv.amrs.bankofamerica.com"
"9","6.5.314.4236","ClientUpgrade","10.145.30.66","IP Address not found","wctze005eapd1.uscltgv.amrs.bankofamerica.com","wctze005eapd1.uscltgv.amrs.bankofamerica.com"
"10","6.5.314.4236","InitialContent","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","server"
"11","6.5.314.4236","MSERT","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"12","6.5.314.4236","ClientMaintenance","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","192.168.1.2"
"13","6.5.314.4236","InitialContent","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","192.168.1.2"
"14","6.5.314.4236","IRGatherer","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","server"
"15","6.5.314.4236","ClientServiceHardening","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"16","6.5.314.4236","IRGatherer","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"17","6.5.314.4236","InitialContent","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","192.168.100.128"
"18","6.5.314.4236","IR","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"19","6.5.314.4236","SCCM","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"20","6.5.314.4236","ClientMaintenance","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","127.0.0.1"
"21","6.5.314.4236","GeoIP","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"22","6.5.314.4236","TaniumPatchContent","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"23","6.5.314.4236","NonWindowsClientRestart","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"24","6.5.314.4236","InitialContent","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","127.0.0.1"
"25","6.5.314.4236","TaniumDetect","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"26","6.5.314.4236","InitialContent","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","uninstall.vbs"
"27","6.5.314.4236","CertificateManagement","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"28","6.5.314.4236","VMware","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"29","6.5.314.4236","UnmanagedAssets","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"30","6.5.314.4236","ClientMaintenance","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","192.168.100.128"
"31","6.5.314.4236","Stinger","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","7za.exe"
"32","6.5.314.4236","IRGatherer","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","dump-memory.vbs"
"33","6.5.314.4236","Connect","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"34","6.5.314.4236","Stinger","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"35","6.5.314.4236","IR","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","server"
"36","6.5.314.4236","CopyTools","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"37","6.5.314.4236","AppUsage","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"38","6.5.314.4226","InitialContent","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","100.1.89.169","server"
"39","6.5.314.4226","Trace","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","100.1.89.169","server"
"40","6.5.314.4226","ClientMaintenance","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","100.1.89.169","server"
"41","6.5.314.4226","Stinger","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","100.1.89.169","unzip-to-tanium-dir.vbs"
"42","6.5.314.4226","NonWindowsClientRestart","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","100.1.89.169","server"
"43","6.5.314.4226","SecurityPatch","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","100.1.89.169","win-h9rk70p4fq7"
"44","6.5.314.4236","IR","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","server","win-h9rk70p4fq7"
"45","6.5.314.4236","SCCM","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","server","win-h9rk70p4fq7"
"46","6.5.314.4236","Trace","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","server"
"47","6.5.314.4236","ClientMaintenance","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","server"
"48","6.5.314.4236","Stinger","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","unzip-to-tanium-dir.vbs"
"49","6.5.314.4236","NonWindowsClientRestart","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","server"
"50","6.5.314.4236","SecurityPatch","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","index.html","win-h9rk70p4fq7"
"51","6.5.314.4226","IR","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","100.1.89.169","win-h9rk70p4fq7"
"52","6.5.314.4226","SCCM","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","100.1.89.169","win-h9rk70p4fq7"
"53","6.5.314.4226","ClientMaintenance","100.1.89.169","AS701 MCI Communications Services, Inc. d/b/a Verizon Business","100.1.89.169","127.0.0.1"
